,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
551,-0.4848106982730888,0.20642873888631294,-0.20968840465702623,-0.056732960170967274,0,0,0,0,1
1817,-0.851086201165638,-0.8769341163215539,-0.6508687023440217,0.49539168087320795,0,0,0,1,0
4738,-0.11853519538053964,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,0,1
2991,-1.290616804636697,-0.8769341163215539,-1.092049000031017,1.185547482178427,0,0,0,1,0
198,-0.5580657988515988,-0.8769341163215539,-0.14181451270518106,-0.056732960170967274,0,0,0,1,0
3288,-0.5580657988515988,-0.8769341163215539,-0.14181451270518106,-0.056732960170967274,0,0,0,1,0
2476,1.7128423190822064,1.2897915940941798,0.7405460826688094,-0.8849199217372301,0,0,0,0,1
402,-1.1441066034796774,-0.8769341163215539,-1.1259859460069395,1.3235786424394709,0,0,0,1,0
4439,2.2256280231317755,1.2897915940941798,1.1138524884039596,-1.022951081998274,0,0,0,0,1
2714,-0.4848106982730888,-0.8769341163215539,-0.5490578644162534,0.35736052061216417,0,0,0,1,0
5403,-1.2173617040581872,-0.8769341163215539,-0.7866164862477127,0.6334228411342517,0,0,0,1,0
2580,0.24774030751200957,0.20642873888631294,-0.20968840465702623,-0.056732960170967274,0,0,0,1,0
2339,0.32099540809051946,0.20642873888631294,0.8084199746206552,-0.8849199217372301,0,0,0,1,0
5060,0.4675056092475389,0.20642873888631294,0.12968105510220088,-0.3327952806930549,0,0,0,0,1
650,1.7128423190822064,1.2897915940941798,1.521095840115032,-1.2990134025203615,0,0,0,0,1
4535,1.8593525202392263,1.2897915940941798,0.6387352447410416,-0.7468887614761863,0,0,0,1,0
708,-0.5580657988515988,-0.8769341163215539,-0.8205534322236353,0.7714540013952955,0,0,0,1,0
3393,-0.4848106982730888,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,1,0
5114,-0.851086201165638,-0.8769341163215539,-0.718742594295867,0.6334228411342517,0,0,0,1,0
2809,-0.851086201165638,-0.8769341163215539,-0.5490578644162534,0.35736052061216417,0,0,0,0,1
5003,0.24774030751200957,0.20642873888631294,-0.10787756672925845,-0.19476412043201108,0,0,0,1,0
3690,-0.851086201165638,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,0,1
3660,-0.851086201165638,-0.8769341163215539,-0.10787756672925845,-0.19476412043201108,0,0,0,0,1
1424,0.24774030751200957,0.20642873888631294,-0.14181451270518106,-0.056732960170967274,0,0,0,0,1
1216,-0.338300497116069,0.20642873888631294,0.33330273095773705,-0.4708264409540987,0,0,0,1,0
2451,-0.4848106982730888,-0.8769341163215539,-1.2277967839347077,1.4616098027005147,0,0,0,1,0
2406,1.0535464138756174,1.2897915940941798,0.6387352447410416,-0.7468887614761863,0,0,0,0,1
1738,-0.851086201165638,-0.8769341163215539,-1.397481513814321,1.875703283483646,1,0,0,0,0
314,0.3942505086690294,0.20642873888631294,0.4351135688855054,-0.6088576012151425,0,0,0,1,0
3708,-0.851086201165638,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,0,1
2996,-1.290616804636697,-0.8769341163215539,-1.2277967839347077,1.4616098027005147,0,0,0,1,0
1427,1.0535464138756174,1.2897915940941798,0.9781047045002687,-1.022951081998274,0,0,0,0,1
1918,0.32099540809051946,0.20642873888631294,1.6229066780428003,-1.2990134025203615,0,1,0,0,0
5155,-1.2173617040581872,-0.8769341163215539,-1.2277967839347077,1.4616098027005147,0,0,0,1,0
2536,-0.851086201165638,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,0,1
113,-0.11853519538053964,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,0,1
960,-0.851086201165638,-0.8769341163215539,-0.718742594295867,0.6334228411342517,0,0,0,0,1
3703,-0.11853519538053964,0.20642873888631294,-0.34543618856071723,0.08129820009007653,0,0,0,0,1
3412,1.7128423190822064,1.2897915940941798,1.4192850021872636,-1.1609822422593177,0,0,0,0,1
1114,0.32099540809051946,0.20642873888631294,-0.17575145868110364,-0.056732960170967274,0,0,0,1,0
4169,0.6140158104045588,1.2897915940941798,0.0618071631503551,-0.3327952806930549,0,0,0,0,1
5672,-0.851086201165638,-0.8769341163215539,-0.10787756672925845,-0.19476412043201108,0,0,0,0,1
4800,-1.1441066034796774,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,1,0
5245,-0.11853519538053964,0.20642873888631294,-0.34543618856071723,0.08129820009007653,0,0,0,0,1
3089,0.24774030751200957,0.20642873888631294,0.5708613527891958,-0.7468887614761863,0,0,0,1,0
4786,-0.851086201165638,-0.8769341163215539,-0.17575145868110364,-0.056732960170967274,0,0,0,1,0
5133,-0.9975964023226577,-0.8769341163215539,-1.1599228919828624,1.3235786424394709,0,0,0,1,0
1864,0.9070362127185984,1.2897915940941798,0.3672396769336596,-0.6088576012151425,0,0,0,0,1
3339,0.24774030751200957,0.20642873888631294,-0.00606672880149008,-0.19476412043201108,0,0,0,0,1
2378,-0.5580657988515988,-0.8769341163215539,0.0957441091262783,-0.3327952806930549,0,0,0,1,0
1634,1.2000566150326373,1.2897915940941798,0.604798298765119,-0.7468887614761863,0,0,0,0,1
2705,-0.9975964023226577,-0.8769341163215539,-1.397481513814321,1.875703283483646,0,0,0,1,0
1894,-0.851086201165638,-0.8769341163215539,-0.277562296608872,0.08129820009007653,0,0,0,0,1
2440,-0.11853519538053964,0.20642873888631294,0.6387352447410416,-0.7468887614761863,0,0,0,0,1
3479,-0.5580657988515988,-0.8769341163215539,-0.5829948103921759,0.35736052061216417,0,0,0,1,0
4782,-1.3638719052152068,-0.8769341163215539,-0.3793731345366398,0.21932936035112033,0,0,0,1,0
1992,1.5663321179251866,1.2897915940941798,0.5708613527891958,-0.7468887614761863,0,0,0,1,0
326,0.24774030751200957,0.20642873888631294,0.1636180010781235,-0.3327952806930549,0,0,0,1,0
604,-0.4848106982730888,-0.8769341163215539,-1.2617337299106306,1.5996409629615584,0,0,0,1,0
4741,0.3942505086690294,0.20642873888631294,0.23149189302996867,-0.4708264409540987,0,0,0,0,1
